"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMP","TOT","PC_LF","M","1993-01",10.83176,
"AUS","UNEMP","TOT","PC_LF","M","1993-02",11.01421,
"AUS","UNEMP","TOT","PC_LF","M","1993-03",10.85626,
"AUS","UNEMP","TOT","PC_LF","M","1993-04",10.76836,
"AUS","UNEMP","TOT","PC_LF","M","1993-05",10.78583,
"AUS","UNEMP","TOT","PC_LF","M","1993-06",10.99674,
"AUS","UNEMP","TOT","PC_LF","M","1993-07",10.92687,
"AUS","UNEMP","TOT","PC_LF","M","1993-08",10.98295,
"AUS","UNEMP","TOT","PC_LF","M","1993-09",10.74219,
"AUS","UNEMP","TOT","PC_LF","M","1993-10",10.95667,
"AUS","UNEMP","TOT","PC_LF","M","1993-11",10.94827,
"AUS","UNEMP","TOT","PC_LF","M","1993-12",10.75515,
"AUS","UNEMP","TOT","PC_LF","M","1994-01",10.56771,
"AUS","UNEMP","TOT","PC_LF","M","1994-02",10.39849,
"AUS","UNEMP","TOT","PC_LF","M","1994-03",10.3522,
"AUS","UNEMP","TOT","PC_LF","M","1994-04",10.0632,
"AUS","UNEMP","TOT","PC_LF","M","1994-05",9.76613,
"AUS","UNEMP","TOT","PC_LF","M","1994-06",9.823446,
"AUS","UNEMP","TOT","PC_LF","M","1994-07",9.622833,
"AUS","UNEMP","TOT","PC_LF","M","1994-08",9.443988,
"AUS","UNEMP","TOT","PC_LF","M","1994-09",9.352263,
"AUS","UNEMP","TOT","PC_LF","M","1994-10",9.091909,
"AUS","UNEMP","TOT","PC_LF","M","1994-11",9.142124,
"AUS","UNEMP","TOT","PC_LF","M","1994-12",8.934234,
"AUS","UNEMP","TOT","PC_LF","M","1995-01",8.856972,
"AUS","UNEMP","TOT","PC_LF","M","1995-02",8.822808,
"AUS","UNEMP","TOT","PC_LF","M","1995-03",8.61587,
"AUS","UNEMP","TOT","PC_LF","M","1995-04",8.267041,
"AUS","UNEMP","TOT","PC_LF","M","1995-05",8.474174,
"AUS","UNEMP","TOT","PC_LF","M","1995-06",8.355479,
"AUS","UNEMP","TOT","PC_LF","M","1995-07",8.421417,
"AUS","UNEMP","TOT","PC_LF","M","1995-08",8.319039,
"AUS","UNEMP","TOT","PC_LF","M","1995-09",8.360976,
"AUS","UNEMP","TOT","PC_LF","M","1995-10",8.574309,
"AUS","UNEMP","TOT","PC_LF","M","1995-11",8.451,
"AUS","UNEMP","TOT","PC_LF","M","1995-12",8.143173,
"AUS","UNEMP","TOT","PC_LF","M","1996-01",8.454783,
"AUS","UNEMP","TOT","PC_LF","M","1996-02",8.326088,
"AUS","UNEMP","TOT","PC_LF","M","1996-03",8.420227,
"AUS","UNEMP","TOT","PC_LF","M","1996-04",8.578177,
"AUS","UNEMP","TOT","PC_LF","M","1996-05",8.413598,
"AUS","UNEMP","TOT","PC_LF","M","1996-06",8.256102,
"AUS","UNEMP","TOT","PC_LF","M","1996-07",8.564852,
"AUS","UNEMP","TOT","PC_LF","M","1996-08",8.718885,
"AUS","UNEMP","TOT","PC_LF","M","1996-09",8.574451,
"AUS","UNEMP","TOT","PC_LF","M","1996-10",8.758542,
"AUS","UNEMP","TOT","PC_LF","M","1996-11",8.469357,
"AUS","UNEMP","TOT","PC_LF","M","1996-12",8.629921,
"AUS","UNEMP","TOT","PC_LF","M","1997-01",8.564469,
"AUS","UNEMP","TOT","PC_LF","M","1997-02",8.701937,
"AUS","UNEMP","TOT","PC_LF","M","1997-03",8.591578,
"AUS","UNEMP","TOT","PC_LF","M","1997-04",8.567706,
"AUS","UNEMP","TOT","PC_LF","M","1997-05",8.546827,
"AUS","UNEMP","TOT","PC_LF","M","1997-06",8.331672,
"AUS","UNEMP","TOT","PC_LF","M","1997-07",8.587659,
"AUS","UNEMP","TOT","PC_LF","M","1997-08",8.464043,
"AUS","UNEMP","TOT","PC_LF","M","1997-09",8.066358,
"AUS","UNEMP","TOT","PC_LF","M","1997-10",8.032188,
"AUS","UNEMP","TOT","PC_LF","M","1997-11",7.985565,
"AUS","UNEMP","TOT","PC_LF","M","1997-12",7.909709,
"AUS","UNEMP","TOT","PC_LF","M","1998-01",7.863846,
"AUS","UNEMP","TOT","PC_LF","M","1998-02",7.771765,
"AUS","UNEMP","TOT","PC_LF","M","1998-03",7.882747,
"AUS","UNEMP","TOT","PC_LF","M","1998-04",7.603063,
"AUS","UNEMP","TOT","PC_LF","M","1998-05",7.764256,
"AUS","UNEMP","TOT","PC_LF","M","1998-06",7.832558,
"AUS","UNEMP","TOT","PC_LF","M","1998-07",7.973444,
"AUS","UNEMP","TOT","PC_LF","M","1998-08",7.754485,
"AUS","UNEMP","TOT","PC_LF","M","1998-09",7.632453,
"AUS","UNEMP","TOT","PC_LF","M","1998-10",7.312754,
"AUS","UNEMP","TOT","PC_LF","M","1998-11",7.626518,
"AUS","UNEMP","TOT","PC_LF","M","1998-12",7.182902,
"AUS","UNEMP","TOT","PC_LF","M","1999-01",7.118229,
"AUS","UNEMP","TOT","PC_LF","M","1999-02",7.114452,
