"year","month","app_r","ko_jp_gol","ko_pr_gol","ko_ch_gol","unemp_k","cpi_k","newgov","monthly"
1993,3,70,5.2,0.747826086956522,6.4,2.8,4.786321,1,"1993m3"
1993,4,83.2,4,-0.0625,4.2,3,4.757335,0,"1993m4"
1993,5,82.4,3.5,4.43,2.86666666666667,3,4.472234,0,"1993m5"
1993,6,82.4,2.4,2.61666666666667,,3,4.805129,0,"1993m6"
1993,7,81.5,-4,1.2,2.33333333333333,3,4.274819,0,"1993m7"
1993,8,79.3,-1.48,3.83333333333333,0.55,2.9,4.437901,0,"1993m8"
1993,9,82,,0.5,,2.8,4.592618,0,"1993m9"
1993,10,81.5,0.566666666666667,1.1,-0.26,3,5.106365,0,"1993m10"
1993,11,87.3,1.725,1.0875,4,2.8,5.474137,0,"1993m11"
1993,12,63.3,-5,4,1,2.7,5.80082,0,"1993m12"
1994,1,51,6,1.48333333333333,3.5,2.7,6.351492,0,"1994m1"
1994,2,51.4,4,2.49444444444444,2.25,2.7,6.812622,0,"1994m2"
1994,3,46.5,3.175,1.58,3.06315789473684,2.7,6.393956,0,"1994m3"
1994,4,33.7,2.62857142857143,0.854166666666667,3.75,2.7,5.943779,0,"1994m4"
1994,5,35.2,-0.657142857142857,0.914285714285714,0.65,2.5,5.676608,0,"1994m5"
1994,6,43.5,1.4,1.7,0.3,2.4,5.89506,0,"1994m6"
1994,7,51.5,2.45,1.075,,2.4,6.883802,0,"1994m7"
1994,8,56.8,0,3.33846153846154,,2.4,7.352734,0,"1994m8"
1994,9,56.8,-5,1.98333333333333,6,2.5,6.503267,0,"1994m9"
1994,10,56.8,-4.375,3.23846153846154,0.78,2.3,5.750499,0,"1994m10"
1994,11,56.8,-1.5,2.87142857142857,0.66,2.2,6.085688,0,"1994m11"
1994,12,56.8,,3.08,5.06,2.2,5.568256,0,"1994m12"
1995,1,62,-1.1,1.3,6.4,2.1,5.196946,0,"1995m1"
1995,2,49.2,4,-0.5,3,2.2,4.464286,0,"1995m2"
1995,3,60.5,0.576923076923077,1.32222222222222,6.4,2.1,4.622253,0,"1995m3"
1995,4,51.8,0.58,2.56,3.38,2,5.089631,0,"1995m4"
1995,5,51.8,1.13333333333333,2.43636363636364,4.96666666666667,2.1,5.218092,0,"1995m5"
1995,6,51.8,3.875,0.625,4.75,2,4.175166,0,"1995m6"
1995,7,43.1,2.6,1.7875,3.5,2,3.603024,0,"1995m7"
1995,8,59.5,1.7,2.475,0.4,2.1,3.431134,0,"1995m8"
1995,9,56.4,1.80625,4.48333333333333,4,2.2,4.676063,0,"1995m9"
1995,10,53.3,-2,-2.25,,2.2,4.480852,0,"1995m10"
1995,11,64,0.1,1.45,,2,4.112093,0,"1995m11"
1995,12,64,5.8,0.05,4,1.9,4.752938,0,"1995m12"
1996,1,74.6,1.35,0.626666666666667,-2.5,1.9,4.804015,0,"1996m1"
1996,2,71.9,-0.813333333333333,2.97777777777778,2.66666666666667,1.9,4.788183,0,"1996m2"
1996,3,72.5,1.83333333333333,3.475,0.3,2,4.436433,0,"1996m3"
1996,4,69.6,7,-0.214285714285714,5,2,4.510385,0,"1996m4"
1996,5,70.2,0.8,0.93,2.1,2,4.900923,0,"1996m5"
1996,6,63.4,-5,1.075,-4.5,2.1,5.213842,0,"1996m6"
1996,7,64.2,-3,3.21538461538462,2.92857142857143,2,5.400868,0,"1996m7"
1996,8,59.8,-1.16666666666667,1.26363636363636,0.783333333333333,2.1,5.267072,0,"1996m8"
1996,9,58.5,2.8,-2.07272727272727,0.8,2,4.533688,0,"1996m9"
1996,10,61.4,-0.214285714285714,0.345454545454545,-2,2.1,5.049228,0,"1996m10"
1996,11,54.8,-1.35714285714286,-0.322222222222222,3.78,2.2,5.258394,0,"1996m11"
1996,12,39.6,-0.0333333333333334,-2,-0.8,2.3,4.925577,0,"1996m12"
1997,1,30.3,0.642857142857143,0.533333333333333,2.95,2.4,4.685275,0,"1997m1"
1997,2,20.9,-1.6,2.02352941176471,0.144,2.6,4.856641,0,"1997m2"
1997,3,22.1,-4.5,3.33333333333333,1.83846153846154,3,4.535048,0,"1997m3"
1997,4,20,4.36666666666667,2.08260869565217,0.688888888888889,2.7,4.313979,0,"1997m4"
1997,5,16.4,-6,3.05714285714286,2.65,2.6,3.812704,0,"1997m5"
1997,6,20.7,1.05,2.4,2.85,2.4,4.002296,0,"1997m6"
1997,7,21.2,0.0666666666666667,3.66666666666667,1.91428571428571,2.4,3.699408,0,"1997m7"
1997,8,19.6,-0.8,1.83333333333333,2.87142857142857,2.4,3.966299,0,"1997m8"
1997,9,16.8,,0.0166666666666668,-0.45,2.5,4.242476,0,"1997m9"
1997,10,14,4,2.39090909090909,1.44,2.4,4.242476,0,"1997m10"
1997,11,,1.70555555555556,1.84285714285714,-3.55,2.9,4.33362,0,"1997m11"
1997,12,,1.00769230769231,2.22727272727273,2.5,3.1,6.573808,0,"1997m12"
1998,1,,-0.588235294117647,2.8,3.1,4.1,8.293089,0,"1998m1"
1998,2,,-1.18,1.98333333333333,2.01,5,9.547483,0,"1998m2"
1998,3,80.3,2.05,2.02222222222222,0.522222222222222,5.8,8.957965,1,"1998m3"
1998,4,75.8,-1.75,3.5375,1.92380952380952,6.5,8.824565,0,"1998m4"
1998,5,77.1,-0.14,3.49285714285714,1.71428571428571,7.1,8.173045,0,"1998m5"
1998,6,80.5,1.53333333333333,-0.385,3.64545454545455,7.5,7.517602,0,"1998m6"
1998,7,75.6,0.266666666666667,0.975,6.66666666666667,8.2,7.320168,0,"1998m7"
1998,8,77.4,2.41428571428571,0.405882352941176,2.1875,8,6.904095,0,"1998m8"
1998,9,73.7,0.661538461538462,1.34,1.5,8.2,6.87101,0,"1998m9"
1998,10,81.3,1.0969696969697,1.04545454545455,2.23333333333333,8.1,7.230645,0,"1998m10"
1998,11,79.3,1.1,1.27222222222222,2.49583333333333,7.9,6.777649,0,"1998m11"
1998,12,77.7,1.375,0.31875,-5.02857142857143,7.9,3.965919,0,"1998m12"
1999,1,78.6,1.89444444444444,2.22,,7.6,1.463453,0,"1999m1"
1999,2,80,0.347058823529412,1.58181818181818,1.96,7.4,0.1682566,0,"1999m2"
1999,3,78.8,0.346666666666667,1.7304347826087,1.7,7.2,0.5071747,0,"1999m3"
1999,4,79.2,1.16666666666667,1.6,1.70736822116333e-16,7,0.4207055,0,"1999m4"
1999,5,65.5,1.4,2.18461538461538,2.76363636363636,6.8,0.7636071,0,"1999m5"
1999,6,69.6,2.13333333333333,0.552857142857143,2.46923076923077,7.1,0.5973121,0,"1999m6"
1999,7,65.4,-0.415789473684211,-0.88125,3.6,7,0.255102,0,"1999m7"
1999,8,64.6,0.327586206896552,2.5,3.58333333333333,6.5,0.9363325,0,"1999m8"
1999,9,66.4,0.2,2.2625,0.966666666666667,5.7,0.7610139,0,"1999m9"
1999,10,64.6,0.3625,3.73,4.32222222222222,5.5,1.181538,0,"1999m10"
1999,11,62.8,-2.26666666666667,3.3,2.54285714285714,5.2,1.352227,0,"1999m11"
1999,12,71.3,0.78,1.56666666666667,2.425,5.2,1.354527,0,"1999m12"
2000,1,75.3,2.66666666666667,2.15238095238095,1.22083333333333,5.1,1.891143,0,"2000m1"
2000,2,71.9,-0.275,2.43636363636364,3.35333333333333,4.8,1.770662,0,"2000m2"
2000,3,72.6,2.16666666666667,1.82222222222222,2.98888888888889,4.5,2.110769,0,"2000m3"
2000,4,72.3,0.288888888888889,2.76363636363636,2.515,4.4,1.445583,0,"2000m4"
2000,5,74.6,1.05909090909091,3.30588235294118,2.10714285714286,4.3,1.103681,0,"2000m5"
2000,6,77,7.33333333333333,2.15714285714286,-1.18421052631579,4.1,2.217343,0,"2000m6"
2000,7,66.9,2,3.13793103448276,4.12857142857143,4.1,2.978961,0,"2000m7"
2000,8,69.9,1.33333333333333,2.45384615384615,3.64444444444444,4.3,2.446591,0,"2000m8"
2000,9,47.7,0.463636363636364,2.77906976744186,2.825,4.4,3.515894,0,"2000m9"
2000,10,61.8,0.554545454545455,1.65384615384615,0.922222222222222,4.1,2.639581,0,"2000m10"
2000,11,49.1,2.75555555555556,3.97272727272727,3.4,4.2,2.202321,0,"2000m11"
2000,12,43.7,-1.425,2.6,4.7,4.4,2.779642,0,"2000m12"
2001,1,45.8,-1.2,3.4,2.20769230769231,4.5,3.438691,0,"2001m1"
2001,2,51.9,1.52307692307692,2.41363636363636,3.125,4.6,3.62659,0,"2001m2"
2001,3,45.4,1.91428571428571,-1.475,4.13333333333333,4.6,4.012234,0,"2001m3"
2001,4,45.6,-1.20879120879121,4.67333333333333,2.8,4,4.833147,0,"2001m4"
2001,5,40.4,-1.27608695652174,2.275,1.55555555555556,3.9,5.262038,0,"2001m5"
2001,6,38.3,-1.86470588235294,2.09230769230769,0.821052631578947,3.8,5.034339,0,"2001m6"
2001,7,37,1.33114754098361,-1,0.857142857142857,3.8,4.813777,0,"2001m7"
2001,8,39,-2.825,2.25172413793103,-4.86666666666667,3.8,4.690873,0,"2001m8"
2001,9,40.9,-0.735714285714286,2.64736842105263,3.88,3.7,3.251443,0,"2001m9"
2001,10,36.4,-2.95161290322581,2.42666666666667,5.62777777777778,3.7,3.352394,0,"2001m10"
2001,11,40.9,4.6,1.51538461538462,2.875,3.7,3.373868,0,"2001m11"
2001,12,44.8,-2.48888888888889,2.28,2.93333333333333,3.7,3.163129,0,"2001m12"
2002,1,37.5,1.33333333333333,2.71111111111111,3,3.7,2.63865,0,"2002m1"
2002,2,42.4,-2,3.82857142857143,3.4,3.5,2.627311,0,"2002m2"
2002,3,44.8,2.37142857142857,1.45,2.5,3.4,2.313319,0,"2002m3"
2002,4,36.2,0.92,0.912,1.71111111111111,3.4,2.497799,0,"2002m4"
2002,5,44.2,-2,5.2,1.59411764705882,3.3,2.981194,0,"2002m5"
2002,6,38.7,-2,-2.60740740740741,-0.5025,3.1,2.588069,0,"2002m6"
2002,7,33,4.36666666666667,-0.296551724137931,2.43636363636364,3.1,2.105884,0,"2002m7"
2002,8,39,1.08,4.05652173913044,0.35,3.3,2.38426,0,"2002m8"
2002,9,30.6,0.442857142857143,2.48695652173913,1.29,3,3.054453,0,"2002m9"
2002,10,34.9,1.94,-0.65,-5.728125,3.1,2.766351,0,"2002m10"
2002,11,39.3,2.78,1.99230769230769,-0.02,3.1,3.454042,0,"2002m11"
2002,12,39.3,0,-0.0216216216216216,1.8625,3.1,3.733759,0,"2002m12"
2003,1,43.6,0.842857142857143,1.88013698630137,3.23333333333333,3.4,3.811159,0,"2003m1"
2003,2,37.7,-3.25555555555556,1.70151515151515,-1.05,3.3,3.885638,0,"2003m2"
2003,3,75.1,-1.85789473684211,-1.44545454545455,1.65,3.4,4.524861,1,"2003m3"
2003,4,75,1.2,2.03690476190476,0.855555555555556,3.4,3.749015,0,"2003m4"
2003,5,70.9,1.53333333333333,2.01111111111111,-1,3.6,3.175405,0,"2003m5"
2003,6,46.8,2.23125,2.26896551724138,0.0833333333333334,3.6,2.991675,0,"2003m6"
2003,7,45.3,-0.169230769230769,-0.670833333333333,3.28,3.6,3.187296,0,"2003m7"
2003,8,43,-1.48666666666667,2.59310344827586,1.25882352941176,3.6,2.979104,0,"2003m8"
2003,9,37.5,1.23571428571429,-1.35,-0.416666666666667,3.7,3.332499,0,"2003m9"
2003,10,34.9,4.17142857142857,1.98125,0.771428571428571,3.7,3.714242,0,"2003m10"
2003,11,40.2,0.966666666666667,1.13636363636364,2.14,3.8,3.432083,0,"2003m11"
2003,12,35.8,1.72727272727273,2.34545454545455,2.06153846153846,3.7,3.419052,0,"2003m12"
2004,1,30.5,-1.08571428571429,2.27916666666667,0.435294117647059,3.6,3.394245,0,"2004m1"
2004,2,34.4,1.95,2.5,2.26785714285714,3.6,3.285272,0,"2004m2"
2004,3,34.1,1.47692307692308,0.0675675675675674,1.40333333333333,3.6,3.065233,0,"2004m3"
2004,4,41.5,2.75714285714286,3.286,1.68333333333333,3.6,3.251238,0,"2004m4"
2004,5,41.5,-0.00833333333333327,3.5,0.257142857142857,3.7,3.348196,0,"2004m5"
2004,6,48.9,-1,3.84186046511628,-0.506666666666667,3.5,3.629945,0,"2004m6"
2004,7,34.2,2.94285714285714,1.14565217391304,0.625,3.7,4.359037,0,"2004m7"
2004,8,35.1,1.04444444444444,1.68823529411765,-0.0648648648648649,3.7,4.791656,0,"2004m8"
2004,9,37.4,1.5,-0.171428571428571,0.714285714285714,3.6,3.852263,0,"2004m9"
2004,10,31.7,-1.04,0.823809523809524,-2.78,3.7,3.760086,0,"2004m10"
2004,11,27.6,0.9875,3,2.75,3.7,3.319547,0,"2004m11"
2004,12,29,-0.98,1.55,1.12666666666667,3.8,3.035099,0,"2004m12"
2005,1,35.6,-0.0666666666666667,0.0626865671641791,-3.06153846153846,3.9,3.402775,0,"2005m1"
2005,2,39.2,0.576,2.24318181818182,1.99583333333333,3.7,3.365225,0,"2005m2"
2005,3,39.6,-2.65070422535211,2.3695652173913,-1.73636363636364,3.7,2.988527,0,"2005m3"
2005,4,47.9,-0.951388888888889,0.103225806451613,1.6375,3.7,3.09235,0,"2005m4"
2005,5,39.1,0.57027027027027,2.39019607843137,-1.7,3.7,3.077935,0,"2005m5"
2005,6,32.8,1.0241935483871,0.769767441860465,2.81666666666667,3.8,2.767511,0,"2005m6"
2005,7,27.2,2.31666666666667,4.14431818181818,1.38636363636364,3.7,2.553241,0,"2005m7"
2005,8,27,-1.00714285714286,2.9304347826087,1.46875,3.6,1.973923,0,"2005m8"
2005,9,26.6,1.1,1.80344827586207,1.325,3.9,2.481985,0,"2005m9"
2005,10,28.5,0.448,1.676,2.09166666666667,3.9,2.278501,0,"2005m10"
2005,11,24.7,0.45,0.660526315789474,2.43636363636364,3.5,2.48921,0,"2005m11"
2005,12,25.9,-1.25882352941176,3.25652173913043,3.575,3.6,2.618973,0,"2005m12"
2006,1,27.1,-1.888,2.66575342465753,0.715873015873016,3.4,2.2248,0,"2006m1"
2006,2,33.4,1.66666666666667,-1.74237288135593,0.666666666666667,3.6,2.01425,0,"2006m2"
2006,3,31.8,0.0529411764705882,-1.67555555555556,-5.16521739130435,3.6,2.002169,0,"2006m3"
2006,4,35.5,-0.753012048192771,2.89891304347826,0.285714285714286,3.5,2.000153,0,"2006m4"
2006,5,35,0.174117647058824,0.837142857142857,4,3.4,2.302048,0,"2006m5"
2006,6,24.8,3.43333333333333,1.83710691823899,2.935,3.5,2.411397,0,"2006m6"
2006,7,26.3,-0.986111111111111,-0.935807860262009,2.67692307692308,3.5,2.399164,0,"2006m7"
2006,8,23.1,-0.0771084337349398,1.77011494252874,2.76666666666667,3.5,2.691951,0,"2006m8"
2006,9,25.6,1.29038461538462,0.942857142857143,2.52894736842105,3.5,2.48005,0,"2006m9"
2006,10,24.1,2.65454545454545,0.358074534161491,2.26330275229358,3.6,2.187191,0,"2006m10"
2006,11,21.6,2.14230769230769,-1.83846153846154,1.56666666666667,3.5,2.096692,0,"2006m11"
2006,12,20.6,-0.171276595744681,3.21538461538462,2.5,3.4,2.089147,0,"2006m12"
2007,1,20.3,-0.88135593220339,0.0626168224299066,1.21242236024845,3.4,1.682092,0,"2007m1"
2007,2,22.6,0.135593220338983,2.00573770491803,1.20909090909091,3.2,2.170794,0,"2007m2"
2007,3,25.7,1.06638655462185,1.84450867052023,2.5825,3.2,2.159281,0,"2007m3"
2007,4,31.6,0.248,2.43058823529412,2.04285714285714,3.3,2.449602,0,"2007m4"
2007,5,29,0.415384615384615,0.728888888888889,-1.98245614035088,3.3,2.348788,0,"2007m5"
2007,6,28.8,2.33333333333333,1.9654028436019,-4.1,3.2,2.548336,0,"2007m6"
2007,7,26,-2.57169811320755,3.74347826086957,1.19827586206897,3.3,2.539651,0,"2007m7"
2007,8,29.5,-1.925,2.70924092409241,2.2135593220339,3.2,2.038442,0,"2007m8"
2007,9,26.6,1.33333333333333,3.29155844155844,-0.283018867924528,3.2,2.323773,0,"2007m9"
2007,10,41.7,1.46551724137931,0.848829431438127,0.965384615384615,3.2,3.015873,0,"2007m10"
2007,11,30.4,-6.33333333333333,2.0563829787234,-0.306024096385542,3.3,3.519091,0,"2007m11"
2007,12,26.6,,2.55681818181818,1.44324324324324,3.2,3.606973,0,"2007m12"
2008,1,33.7,-3.19189189189189,0.967213114754098,2.1967032967033,3,3.890129,0,"2008m1"
2008,2,30.2,1.51666666666667,-0.316129032258065,0.857142857142857,3,3.575608,0,"2008m2"
2008,3,53.2,-0.917307692307692,-1.25183673469388,1.37901234567901,3,3.938281,1,"2008m3"
2008,4,39.5,-1.38461538461538,-0.352702702702703,0.596610169491525,3.1,4.115989,0,"2008m4"
2008,5,29.3,-2.68947368421053,4.59090909090909,1.01743119266055,3.2,4.874958,0,"2008m5"
2008,6,21.6,2.34042553191489,0.761467889908257,1.87591240875912,3.1,5.544045,0,"2008m6"
2008,7,23.2,-0.939336492890995,-0.0822784810126582,3.4,3.1,5.904135,0,"2008m7"
2008,8,28.5,-8.4348623853211,2.45461538461538,-0.305,3.2,5.613507,0,"2008m8"
2008,9,28.9,-0.727272727272727,0.102298850574713,1.53037974683544,3.2,5.108846,0,"2008m9"
2008,10,36.6,-0.562962962962963,-2.01,1.35714285714286,3.3,4.8151,0,"2008m10"
2008,11,37.2,-0.882978723404255,3.59157894736842,4.06153846153846,3.3,4.532213,0,"2008m11"
2008,12,38.5,1,1.53157894736842,4.28666666666667,3.4,4.138585,0,"2008m12"
2009,1,39.4,-0.363636363636364,1.99726775956284,-3.90909090909091,3.4,3.746852,0,"2009m1"
2009,2,36.7,3.64137931034483,0.917647058823529,-3.78672566371681,3.4,4.103838,0,"2009m2"
2009,3,38.8,1.66434108527132,-2.93403141361257,-0.227058823529412,3.6,3.880956,0,"2009m3"
2009,4,39.3,-3.36484848484848,-1.35968992248062,2.86458333333333,3.6,3.58302,0,"2009m4"
2009,5,37.9,-0.5625,-0.507317073170732,1.21276595744681,3.9,2.734393,0,"2009m5"
2009,6,37.7,2.86363636363636,-2.3989247311828,2.68939393939394,3.9,1.993049,0,"2009m6"
2009,7,36.4,-0.370535714285714,0.884962406015038,0.0558823529411766,3.8,1.618728,0,"2009m7"
2009,8,40.5,,1.07034700315457,0.481818181818182,3.8,2.162578,0,"2009m8"
2009,9,46.1,2.76,-0.623180592991914,3.58307692307692,3.6,2.160618,0,"2009m9"
2009,10,54.3,0,2.13407202216067,1.7752808988764,3.5,1.982267,0,"2009m10"
2009,11,40.8,-6.02758620689655,0.572142857142857,2.94,3.7,2.439053,0,"2009m11"
2009,12,45,-0.574,2.45797872340426,3.82394366197183,3.6,2.800649,0,"2009m12"
2010,1,51.1,2.74893617021277,1.00212014134276,2.93333333333333,4.7,3.51834,0,"2010m1"
2010,2,51.1,2.59677419354839,1.98376623376623,2.11217391304348,4.1,2.984819,0,"2010m2"
2010,3,52.5,0.572727272727273,1.00386473429952,0.448031496062992,3.7,2.458886,0,"2010m3"
2010,4,48.3,-0.100740740740741,-0.131541218637993,0.827927927927928,3.6,2.598269,0,"2010m4"
2010,5,47.4,-2,-0.059468438538206,1.0975,3.2,2.701205,0,"2010m5"
2010,6,44.4,3.08235294117647,-2.25672727272727,0.0944000000000001,3.5,2.688872,0,"2010m6"
2010,7,40.3,2.24285714285714,-1.03388157894737,2.2,3.7,2.530432,0,"2010m7"
2010,8,49,-0.108928571428571,-0.211340206185567,2.19727891156463,3.5,2.681131,0,"2010m8"
2010,9,43.2,0.553488372093023,0.90945558739255,4.606,3.7,3.407687,0,"2010m9"
2010,10,50.6,-3.17857142857143,0.236448598130841,1.40045871559633,3.6,3.682515,0,"2010m10"
2010,11,52,-0.00844155844155846,-1.61054131054131,1.37632398753894,3.3,2.988028,0,"2010m11"
2010,12,48.1,0.830769230769231,0.0167755991285403,2.375,3.7,3.033528,0,"2010m12"
2011,1,49.4,2.98061224489796,1.7919770773639,-0.459649122807018,3.6,3.440994,0,"2011m1"
2011,2,48.7,2.64444444444444,0.942857142857143,1.40298507462687,3.7,3.938728,0,"2011m2"
2011,3,39.2,2.32850241545894,0.313274336283186,2.42816901408451,3.8,4.133366,0,"2011m3"
2011,4,39,0.27710843373494,-1.51647058823529,2.81311475409836,3.5,3.815792,0,"2011m4"
2011,5,38.5,0.407777777777778,0.613675213675214,1.87384615384615,3.3,3.912196,0,"2011m5"
2011,6,34.9,3.31219512195122,0.249295774647887,2.31585365853659,3.3,4.217106,0,"2011m6"
2011,7,41.3,-1.16323024054983,-0.538848920863309,0.858163265306122,3.3,4.509045,0,"2011m7"
2011,8,39.4,-1.38426229508197,-0.0899581589958159,0.957627118644068,3.2,4.68579,0,"2011m8"
2011,9,33.5,3.30943396226415,1.02093023255814,0.6625,3.3,3.759178,0,"2011m9"
2011,10,36.7,3.17458563535912,0.846236559139785,1.16666666666667,3.2,3.561498,0,"2011m10"
2011,11,35.5,-3.5,-0.0255474452554744,-0.0879999999999999,3.2,4.175172,0,"2011m11"
